Zip,Median Total,Median  Owner occupied,Median  Renter occupied
91766,64947.48,55355,27478
91767,61030.32,48495,26398
91768,55330.08,46764,23628
91770,59145.840000000004,50324,28288
91773,97779.24,70708,40842
91775,88441.08,69860,33039
91776,59239.44,51863,31780
91780,73288.8,58173,35006
91784,129324.0,86846,51103
91786,58228.560000000005,55224,27341
91789,115569.48000000001,79172,44071
91790,79198.08,60080,35720
91791,87904.44,70448,31161
91792,85430.28,66441,38353
917HH,0.0,0,0
917XX,88725.0,73125,4063
91801,59364.240000000005,54821,31394
91803,64326.600000000006,57204,29706
91901,96861.96,78862,33865
91902,112114.08,83060,43224
91905,58450.08,40163,27222
91906,61217.520000000004,50531,30679
91910,66802.32,58805,30624
91911,59081.880000000005,48724,30398
91913,103329.72,71157,43835
91914,107285.88,69051,35000
91915,120595.8,80661,55000
91916,73596.12,52143,30500
91917,47840.520000000004,35000,22857
91931,44293.08,27857,33250
91932,55936.920000000006,50522,30888
91934,37050.0,30347,21063
91935,122205.72,83603,38317
91941,70700.76000000001,60226,32236
91942,66003.6,54979,35160
91945,62375.04,51553,29470
91948,54600.0,39688,17500
91950,46475.520000000004,44513,23363
91962,95333.16,61111,62500
91963,49530.0,38462,22679
91977,71761.56,55333,33938
91978,73168.68000000001,49453,41176
91980,32067.36,19063,21389
919HH,0.0,0,0
919XX,52650.0,33750,0
92003,90175.8,69453,34904
92004,55403.4,38313,27500
92007,97571.76000000001,77415,51121
92008,86325.72,71600,40317
92009,117861.12000000001,85524,50989
92014,152232.6,113136,63086
92019,87927.84,67193,33833
92020,57899.4,59740,27662
92021,62462.4,51239,31530
92024,98579.52,81096,41486
92025,60584.16,60332,27631
92026,75644.40000000001,59066,34158
92027,71295.12,55915,31075
92028,77310.48,61803,29211
92029,98175.48000000001,76130,35237
92036,74248.2,51274,30926
92037,109541.64,96178,44597
92040,74853.48,58678,31723
92054,56358.12,51283,30483
92056,83580.12000000001,60127,40197
92057,76120.2,55332,36686
92059,48288.240000000005,40000,21563
92060,68738.28,42396,44375
92061,69738.24,55774,28714
92064,111193.68000000001,83573,40504
92065,93275.52,69839,34282
92066,34883.16,30625,21154
92067,296030.28,"200,000+",78537
92069,71087.64,53929,35173
92070,46280.520000000004,32250,27679
92071,82733.04000000001,59893,36256
92075,108299.88,94646,50467
92078,85748.52,60851,35536
92082,89576.76000000001,65575,32824
92083,71775.6,58647,35173
92084,68370.12,58365,29048
92086,59799.48,39605,31944
92091,156678.6,106304,55625
920HH,0.0,0,0
920XX,29250.0,0,18750
92101,36791.04,60645,21106
92102,41154.36,41238,22053
92103,61326.72,68108,31858
92104,48478.560000000005,51011,26542
92105,40079.520000000004,39736,21000
92106,94829.28,76424,36034
92107,67225.08,63539,34634
92108,66281.28,43176,42374
92109,70491.72,62142,39497
92110,63130.08,56260,31723
92111,67373.28,57925,31727
92113,36872.16,36778,20027
92114,71394.96,53248,27098
92115,49831.08,52500,23902
92116,54459.6,56122,29123
92117,73714.68000000001,57216,36681
92118,102960.0,90550,46147
92119,86360.04000000001,62075,37481
92120,88807.68000000001,61556,42250
92121,106303.08,100304,40417
92122,81101.28,71242,41531
92123,78042.12000000001,61957,40324
92124,91840.32,78813,46184
92126,93860.52,68928,48442
92127,119074.8,90747,55063
92128,102947.52,71273,53741
92129,121010.76000000001,87598,47473
92130,146825.64,107040,60036
92131,140974.08000000002,96212,58077
92139,76319.88,56833,36808
92154,67716.48,53154,29148
92173,43388.28,45829,19893
921HH,0.0,0,0
92201,56637.36,48102,24484
92203,57720.0,38092,29861
92210,152600.76,110310,22426
92211,81609.84,58630,36040
92220,51728.04,38692,22317
92223,53937.0,44498,23314
92225,48857.64,40135,22582
92227,49785.840000000004,49239,19976
92230,33583.68,23693,20069
92231,43486.560000000005,39660,17333
92233,47795.28,41681,23063
92234,59058.48,45920,27897
92236,45367.92,36308,19985
92239,61513.920000000006,52500,34792
92240,42034.200000000004,32462,19887
92241,41480.4,26478,27031
92242,35273.16,23125,19904
92243,52567.32,48157,21396
92249,47636.16,35787,20852
